Survived,Pclass,Sex,Age,SibSp,Parch,FamilySize,IsAlone,Fare,Embarked,Deck,HasCabin,TicketGroupSize,TicketPrefix,Title,PassengerId
0,3,male,22.0,1,0,2,0,7.25,S,U,0,1,A,Mr,1
1,1,female,38.0,1,0,2,0,71.2833,C,C,1,1,PC,Mrs,2
1,3,female,26.0,0,0,1,1,7.925,S,U,0,1,STONO,Miss,3
1,1,female,35.0,1,0,2,0,53.1,S,C,1,2,NUM,Mrs,4
0,3,male,35.0,0,0,1,1,8.05,S,U,0,1,NUM,Mr,5
0,3,male,,0,0,1,1,8.4583,Q,U,0,1,NUM,Mr,6
0,1,male,54.0,0,0,1,1,51.8625,S,E,1,1,NUM,Mr,7
0,3,male,2.0,3,1,5,0,21.075,S,U,0,4,NUM,Master,8
1,3,female,27.0,0,2,3,0,11.1333,S,U,0,3,NUM,Mrs,9
1,2,female,14.0,1,0,2,0,30.0708,C,U,0,2,NUM,Mrs,10
1,3,female,4.0,1,1,3,0,16.7,S,G,1,2,PP,Miss,11
1,1,female,58.0,0,0,1,1,26.55,S,C,1,1,NUM,Miss,12
0,3,male,20.0,0,0,1,1,8.05,S,U,0,1,A,Mr,13
0,3,male,39.0,1,5,7,0,31.275,S,U,0,7,NUM,Mr,14
0,3,female,14.0,0,0,1,1,7.8542,S,U,0,1,NUM,Miss,15
1,2,female,55.0,0,0,1,1,16.0,S,U,0,1,NUM,Mrs,16
0,3,male,2.0,4,1,6,0,29.125,Q,U,0,5,NUM,Master,17
1,2,male,,0,0,1,1,13.0,S,U,0,1,NUM,Mr,18
0,3,female,31.0,1,0,2,0,18.0,S,U,0,1,NUM,Mrs,19
1,3,female,,0,0,1,1,7.225,C,U,0,1,NUM,Mrs,20
0,2,male,35.0,0,0,1,1,26.0,S,U,0,2,NUM,Mr,21
1,2,male,34.0,0,0,1,1,13.0,S,D,1,1,NUM,Mr,22
1,3,female,15.0,0,0,1,1,8.0292,Q,U,0,1,NUM,Miss,23
1,1,male,28.0,0,0,1,1,35.5,S,A,1,1,NUM,Mr,24
0,3,female,8.0,3,1,5,0,21.075,S,U,0,4,NUM,Miss,25
1,3,female,38.0,1,5,7,0,31.3875,S,U,0,4,NUM,Mrs,26
0,3,male,,0,0,1,1,7.225,C,U,0,1,NUM,Mr,27
0,1,male,19.0,3,2,6,0,263.0,S,C,1,4,NUM,Mr,28
1,3,female,,0,0,1,1,7.8792,Q,U,0,1,NUM,Miss,29
0,3,male,,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,30
0,1,male,40.0,0,0,1,1,27.7208,C,U,0,1,PC,Rare,31
1,1,female,,1,0,2,0,146.5208,C,B,1,2,PC,Mrs,32
1,3,female,,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,33
0,2,male,66.0,0,0,1,1,10.5,S,U,0,1,CA,Mr,34
0,1,male,28.0,1,0,2,0,82.1708,C,U,0,2,PC,Mr,35
0,1,male,42.0,1,0,2,0,52.0,S,U,0,2,NUM,Mr,36
1,3,male,,0,0,1,1,7.2292,C,U,0,1,NUM,Mr,37
0,3,male,21.0,0,0,1,1,8.05,S,U,0,1,A,Mr,38
0,3,female,18.0,2,0,3,0,18.0,S,U,0,2,NUM,Miss,39
1,3,female,14.0,1,0,2,0,11.2417,C,U,0,2,NUM,Miss,40
0,3,female,40.0,1,0,2,0,9.475,S,U,0,1,NUM,Mrs,41
0,2,female,27.0,1,0,2,0,21.0,S,U,0,2,NUM,Mrs,42
0,3,male,,0,0,1,1,7.8958,C,U,0,1,NUM,Mr,43
1,2,female,3.0,1,2,4,0,41.5792,C,U,0,3,SCParis,Miss,44
1,3,female,19.0,0,0,1,1,7.8792,Q,U,0,1,NUM,Miss,45
0,3,male,,0,0,1,1,8.05,S,U,0,1,SCA,Mr,46
0,3,male,,1,0,2,0,15.5,Q,U,0,1,NUM,Mr,47
1,3,female,,0,0,1,1,7.75,Q,U,0,1,NUM,Miss,48
0,3,male,,2,0,3,0,21.6792,C,U,0,1,NUM,Mr,49
0,3,female,18.0,1,0,2,0,17.8,S,U,0,2,NUM,Mrs,50
0,3,male,7.0,4,1,6,0,39.6875,S,U,0,6,NUM,Master,51
0,3,male,21.0,0,0,1,1,7.8,S,U,0,1,A,Mr,52
1,1,female,49.0,1,0,2,0,76.7292,C,D,1,3,PC,Mrs,53
1,2,female,29.0,1,0,2,0,26.0,S,U,0,1,NUM,Mrs,54
0,1,male,65.0,0,1,2,0,61.9792,C,B,1,1,NUM,Mr,55
1,1,male,,0,0,1,1,35.5,S,C,1,1,NUM,Mr,56
1,2,female,21.0,0,0,1,1,10.5,S,U,0,1,CA,Miss,57
0,3,male,28.5,0,0,1,1,7.2292,C,U,0,1,NUM,Mr,58
1,2,female,5.0,1,2,4,0,27.75,S,U,0,3,CA,Miss,59
0,3,male,11.0,5,2,8,0,46.9,S,U,0,6,CA,Master,60
0,3,male,22.0,0,0,1,1,7.2292,C,U,0,1,NUM,Mr,61
1,1,female,38.0,0,0,1,1,80.0,S,B,1,2,NUM,Miss,62
0,1,male,45.0,1,0,2,0,83.475,S,C,1,2,NUM,Mr,63
0,3,male,4.0,3,2,6,0,27.9,S,U,0,6,NUM,Master,64
0,1,male,,0,0,1,1,27.7208,C,U,0,1,PC,Mr,65
1,3,male,,1,1,3,0,15.2458,C,U,0,2,NUM,Master,66
1,2,female,29.0,0,0,1,1,10.5,S,F,1,1,CA,Mrs,67
0,3,male,19.0,0,0,1,1,8.1583,S,U,0,1,SP,Mr,68
1,3,female,17.0,4,2,7,0,7.925,S,U,0,1,NUM,Miss,69
0,3,male,26.0,2,0,3,0,8.6625,S,U,0,1,NUM,Mr,70
0,2,male,32.0,0,0,1,1,10.5,S,U,0,1,CA,Mr,71
0,3,female,16.0,5,2,8,0,46.9,S,U,0,6,CA,Miss,72
0,2,male,21.0,0,0,1,1,73.5,S,U,0,5,SOC,Mr,73
0,3,male,26.0,1,0,2,0,14.4542,C,U,0,1,NUM,Mr,74
1,3,male,32.0,0,0,1,1,56.4958,S,U,0,7,NUM,Mr,75
0,3,male,25.0,0,0,1,1,7.65,S,F,1,1,NUM,Mr,76
0,3,male,,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,77
0,3,male,,0,0,1,1,8.05,S,U,0,1,NUM,Mr,78
1,2,male,0.83,0,2,3,0,29.0,S,U,0,2,NUM,Master,79
1,3,female,30.0,0,0,1,1,12.475,S,U,0,2,NUM,Miss,80
0,3,male,22.0,0,0,1,1,9.0,S,U,0,1,NUM,Mr,81
1,3,male,29.0,0,0,1,1,9.5,S,U,0,1,NUM,Mr,82
1,3,female,,0,0,1,1,7.7875,Q,U,0,1,NUM,Miss,83
0,1,male,28.0,0,0,1,1,47.1,S,U,0,1,NUM,Mr,84
1,2,female,17.0,0,0,1,1,10.5,S,U,0,1,SOC,Miss,85
1,3,female,33.0,3,0,4,0,15.85,S,U,0,2,NUM,Mrs,86
0,3,male,16.0,1,3,5,0,34.375,S,U,0,4,WC,Mr,87
0,3,male,,0,0,1,1,8.05,S,U,0,1,SOTONOQ,Mr,88
1,1,female,23.0,3,2,6,0,263.0,S,C,1,4,NUM,Miss,89
0,3,male,24.0,0,0,1,1,8.05,S,U,0,1,NUM,Mr,90
0,3,male,29.0,0,0,1,1,8.05,S,U,0,1,NUM,Mr,91
0,3,male,20.0,0,0,1,1,7.8542,S,U,0,1,NUM,Mr,92
0,1,male,46.0,1,0,2,0,61.175,S,E,1,1,WEP,Mr,93
0,3,male,26.0,1,2,4,0,20.575,S,U,0,2,CA,Mr,94
0,3,male,59.0,0,0,1,1,7.25,S,U,0,1,NUM,Mr,95
0,3,male,,0,0,1,1,8.05,S,U,0,1,NUM,Mr,96
0,1,male,71.0,0,0,1,1,34.6542,C,A,1,1,PC,Mr,97
1,1,male,23.0,0,1,2,0,63.3583,C,D,1,1,PC,Mr,98
1,2,female,34.0,0,1,2,0,23.0,S,U,0,2,NUM,Mrs,99
0,2,male,34.0,1,0,2,0,26.0,S,U,0,2,NUM,Mr,100
0,3,female,28.0,0,0,1,1,7.8958,S,U,0,1,NUM,Miss,101
0,3,male,,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,102
0,1,male,21.0,0,1,2,0,77.2875,S,D,1,2,NUM,Mr,103
0,3,male,33.0,0,0,1,1,8.6542,S,U,0,1,NUM,Mr,104
0,3,male,37.0,2,0,3,0,7.925,S,U,0,1,NUM,Mr,105
0,3,male,28.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,106
1,3,female,21.0,0,0,1,1,7.65,S,U,0,1,NUM,Miss,107
1,3,male,,0,0,1,1,7.775,S,U,0,1,NUM,Mr,108
0,3,male,38.0,0,0,1,1,7.8958,S,U,0,1,NUM,Mr,109
1,3,female,,1,0,2,0,24.15,Q,U,0,3,NUM,Miss,110
0,1,male,47.0,0,0,1,1,52.0,S,C,1,2,NUM,Mr,111
0,3,female,14.5,1,0,2,0,14.4542,C,U,0,2,NUM,Miss,112
0,3,male,22.0,0,0,1,1,8.05,S,U,0,1,NUM,Mr,113
0,3,female,20.0,1,0,2,0,9.825,S,U,0,1,NUM,Miss,114
0,3,female,17.0,0,0,1,1,14.4583,C,U,0,2,NUM,Miss,115
0,3,male,21.0,0,0,1,1,7.925,S,U,0,1,STONO,Mr,116
0,3,male,70.5,0,0,1,1,7.75,Q,U,0,1,NUM,Mr,117
